Old,New,Description
"Comma-separated list of rule IDs or categories (prefixed with category:)",*,
"One or more C# modifiers, such as public, private, and protected",*,
"One or more Visual Basic modifiers, such as Partial, Private, and Public",*,
"accessors, anonymous_methods, anonymous_types, control_blocks, events, indexers, lambdas, local_functions, methods, object_collection_array_initializers, properties, types",,Can use the complete set or a subset of the provided values
false (or any other value),false,Can use any value not mentioned to fill in for this
"non-empty string, optionally containing a {fileName} placeholder",*,Can use a {fileName} placeholder in the text
"unset or empty string",unset,Can use an empty string
when_types_loosely_match (.NET 9 and later versions)<sup>\*</sup>,when_types_loosely_match,Only in .NET 9 and later versions
when_types_loosely_match<sup>\*</sup>,when_types_loosely_match,Only in .NET 9 and later versions
when_types_loosely_match\*,when_types_loosely_match,"When this option is used, the code fix might change the semantics of your code."
